American Staffordshire Terrier,"The American Staffordshire Terrier is a muscular breed that is known for being strong for its size, yet loving and affectionate with their human family. American Staffordshire Terriers enjoy nothing more than being with the humans they care about, whether they’re out for a jog, playing in the yard, or cuddling up on the couch.

They are intelligent and eager to please, which makes them highly trainable, though that intelligence means they need mental stimulation, or else they’ll put those strong jaws to use and chew anything they can find out of boredom. American Staffordshire Terriers can also use their strength to pull dog walkers along with ease wherever they want to go if they aren’t trained properly. This means they need a strong, confident trainer who will set boundaries without being overly harsh.

Socialization is also important to help the breed overcome its natural standoffish tendencies when it comes to other animals. This breed loves having a job to do, and they do well in athletic competitions, police work, and obedience training. With proper training, the American Staffordshire Terrier can be a loyal cuddle bug and family companion, as well as a competent working dog.",L,,,,,,,,,
American Water Spaniel,"he American Water Spaniel was bred to be an all-around hunting dog. Specializing in waterfowl, he’s a skilled swimmer who will retrieve from small boats and has a water-resistant double coat. The dog breed has the high energy of a dog born to chase and retrieve game, but given enough exercise, he can also make an great family companion.",S,,,,,,,,,
Anatolian Shepherd Dog,"The Anatolian Shepherd Dog is a native of Turkey, where they were bred as a shepherd’s companion and livestock guardian. They were created with specific traits to resemble the size and color of livestock they defended so predators wouldn’t detect them among the flock. Sometimes called the Anatolian Karabash Dog or Kangal, they’re a fiercely loyal guard dog and a large, impressive dog breed, frequently weighing 120 to 150 pounds at maturity.

Novice owners beware. Not only are dogs of this breed big; they’re known to be stubborn. Anatolian Shepherd Dogs require firm, consistent trainers with experience handling dogs. Also, while grooming requirements are fairly minimal, owners should have the vacuum on standby. Be ready to clean up all the fur they shed throughout the year.


A trained and well-socialized Anatolian Shepherd is a friend and guardian for anyone they consider to be their “flock,” which includes the human members of their family. They are even friendly with their human children, though their size makes it easy for them to knock over a kid during vigorous play. They may also chase other pets or animals if they owners don’t train them properly. Therefore, socialization and behavior training should start early on, ideally in puppyhood. If you’re willing to stay firm with training, you have the strength to handle a large pooch, and you’re willing to put in the time and dedication, an Anatolian Shepherd Dog will be your friend and guardian for life.",L,,,,,,,,,
Appenzeller Sennenhunde,"The Appenzeller originated as an all-around farm dog breed, who stayed busy herding the livestock, guarding the farm, and pulling carts in his native Switzerland. Today’s Appenzellers have still got the energy, smarts, and self-confidence that makes for valuable working dogs — but they’re anything but low-maintenance. Dogs of this breed need lots of exercise, training, and a job to do.",L,,,,,,,,,
Affenpinscher,"Canines in the Affenpinscher dog breed were originally created to be ratters in homes, stables, and shops. Bred down in size, they moved up in the world, becoming ladies’ companions. Today, they are happy, mischievous companion dogs.
",S,,,,,,,,,
Afghan Hound,"The Afghan Hound is elegance personified. This unique, ancient dog breed has an appearance quite unlike any other: dramatic silky coat, exotic face, and thin, fashion-model build. Looks aside, Afghan enthusiasts describe this hound as both aloof and comical. Hailing from Afghanistan, where the original name for the breed was Tazi, the Afghan is thought to date back to the pre-Christian era and is considered one of oldest breeds.",M,,,,,,,,,
Airedale Terrier,"Known as the “King of Terriers,” the Airedale is indeed the largest of all terriers. The dog breed originated in the Aire Valley of Yorkshire, and was created to catch otters and rats in the region between the Aire and Wharfe Rivers. An able sporting dog, he became an ideal working dog as well, proving his worth during World War I. Intelligent, outgoing, and confident, the Airedale possesses a wonderful playful streak that delights his owners.",L,,,,,,,,,
Akita,"The Akita is a large and powerful dog breed with a noble and intimidating presence. They were originally used for guarding royalty and nobility in feudal Japan. These dogs also tracked and hunted wild boar, black bear, and sometimes deer. The Akita does not back down from challenges and does not frighten easily. Consequently, they are fearless and loyal guardians of their families. Yet they are also affectionate, respectful, and amusing dogs when properly trained and socialized.

An Akita is bound to shed quite a bit, and you may be wiping some drool from their face if you bring one home. Certainly, owners should be prepared for some cleanup. Furthermore, they tend to be stubborn and are not overly fond of strangers. While those can be good traits for a watchdog, they will need an experienced trainer if they are to interact with other animals or people. Novices beware. That said, dogs of this breed are faithful companions that will be attached to the right owner for life and shower them with adoration and love. Therefore, if you and your family are up for the challenge and consider adopting an Akita, you’ll have a lifelong friend that won’t let you down.",L,,,,,,,,,
Barbet,This woolly sporting dog breed is fun-loving and smart. The Barbet was bred for retrieving waterfowl for hunters—and has the webbed feet to prove it—but they’re also a talented agility competitor in their native France.,M,,,,,,,,,
Basenji,"Out of Africa, the Basenji dog breed was originally found in the Congo. He uses both scent and sight to hunt and was originally used to flush small game into a hunter’s nets and to control village rodent populations. Clever and endearing, he’s a good companion for the person or family who can stay a step ahead of him.",S,,,,,,,,,
Bassador,"The Bassador is a mixed breed dog–a cross between the Basset Hound and the Labrador Retriever dog breeds. Loyal, sometimes stubborn, and always sniffing around, these pups inherited some of the best qualities from both of their parents.

Bassadors go by several names, including Basset Lab, Basador, and sometimes even Bassetdor. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop!


Bassadors come from two very different parents, so their perfect living situation will depend on the individual dog. In general, Bassadors love attention, especially from their favorite person, and will need to live in a place with plenty of space to roam. If you want a dog with a very unique look who’s loyal to a fault, the Bassador could be the dog for you!",M,,,,,,,,,
Basset Fauve de Bretagne,"The Basset Fauve de Bretagne is a purebred dog from France. These pups are intelligent, friendly, and active, which are great qualities for a hound dog.

The Basset Fauve de Bretagne also goes by the name Fawn Brittany Basset. If you so happen to want to bring one of these cute and adorable pooches into your home and family, then make sure to check breed specific rescues or your local shelter. Remember, it’s always best to adopt, not shop!

These adorable pups make great apartment dogs due to their size, and they also make great companions for any household type, from singles to large families with children. They might, however, chase after smaller animals or cats in the household. If you want a friendly, intelligent dog who will keep you on your toes, be a great companion, and love you unconditionally, then the Basset Fauve de Bretagne might be the right pooch for you!",M,,,,,,,,,
Basset Hound,"The Basset dog breed was bred for hunting small game such as rabbits and is still used for this purpose in some parts of the country. When he’s not on the trail of a bunny, he’s a laid-back family friend who loves kids.",S,,,,,,,,,
Bavarian Mountain Scent Hound,"The Bavarian Mountain Scent Hound is a purebred dog originally from Germany. These pups are loyal, intelligent, and reserved, which are some of the best qualities for a Hound dog breed.

The Bavarian Mountain Scent Hound goes by a few other names, including Bavarian Mountain Scenthound and Bayerischer Gebirgsschwei. Despite being a very rare breed, you can try and find these adorable pooches in local shelters or breed specific rescues, so remember to adopt! Don’t shop!


These reserved pups are very loyal to their pet parents and would fit great with families with children or larger households. They are a quiet breed but are very wary towards strangers or anyone theydon’t know approaching them or their humans. If you want a loyal pup who likes to be active and will love you unconditionally, the Bavarian Mountain Scent Hound may be the right dog for you!",L,,,,,,,,,
Beagle,"Small, compact, and hardy, Beagles are active companions for kids and adults alike. Canines in this dog breed are merry and fun loving, but being hounds, they can also be stubborn and require patient, creative training techniques. Their noses guide them through life, and they’re never happier than when following an interesting scent. The Beagle originally was bred as a scenthound to track small game, mostly rabbits and hare. He is still used for this purpose in many countries, including the United States.",S,,,,,,,,,
Bearded Collie,"The Bearded Collie dog breed was developed in Scotland to herd sheep and cattle in any weather or terrain. They function today as excellent family companions, show dogs, working sheepdogs, or even all three. Because of their energy and quickness they are well suited to competing in obedience, rally, agility, and other dog sports.",M,,,,,,,,,
Bedlington Terrier,"The Bedlington Terrier dog breed originated as a killer of vermin and poacher’s sidekick. Today Bedlingtons excel as companions and in the show ring. Although they still have excellent hunting instincts, a keen sense of smell, and the will to go to ground, they are rarely used in the field.",S,,,,,,,,,
Belgian Malinois,"Canines of the Belgian Malinois dog breed were originally bred to be herding dogs. Today, they also work as police dogs, protection dogs, and family companions. In the hands of an experienced dog person, they are intense, intelligent and athletic companions.",L,,,,,,,,,
Belgian Sheepdog,"This medium-size herding dog breed originated in Belgium where he was used to herd sheep. He later graduated to police work, and today his versatility makes him suitable for many types of work and dog sports. He’s alert, devoted, and protective.",M,,,,,,,,,
Belgian Tervuren,"Created in Belgium in the late 19th century, the Belgian Tervuren dog breed is often considered to be the most elegant of the four Belgian sheepdogs. He’s intelligent and athletic, making him a versatile performer in any number of activities, including his original job, herding. If you can provide a dog with plenty of exercise, training, and attention, he might be a good choice for you.",L,,,,,,,,,
Berger Picard,"Also known as the Picardy Shepherd, the Berger Picard dog breed is thought to be the oldest of the French sheepdogs.

Their scruffy looks and lively intelligence have won them plenty of fans over the centuries, and more recently, they’re winning movie roles.",L,,,,,,,,,
Bernedoodle,"Clever, goofy, gentle, and loyal. Bernedoodle fans boast that this mixed breed has the best of both worlds from its Bernese Mountain Dog and Poodle parents.

Also known as the Bernese Mountain Poo, Bernedoodles aren’t bred to take home ribbons in dog shows, but are instead meant to be the perfect, loving companions for active owners and families with children.",L,,,,,,,,,
Bernese Mountain Dog,"The Bernese Mountain Dog is an extremely versatile working dog from the farmlands of Switzerland. They were developed to herd cattle, pull carts, and be watchdogs and loyal companions. They are one of four types of Swiss Mountain Dogs, and the only one with long hair. The Bernese Mountain Dog comes from the canton of Bern, hence his name. They’re a large and sturdy dog breed, with a friendly and calm disposition, and they’re also well-suited to conformation, obedience, tracking, herding, and carting competitions.

A novice dog owner might be attracted to this breed’s friendly disposition, intelligence, and highly trainable nature. However, first-time dog owners should beware. The Bernese Mountain Dog’s size and high energy can make handling difficult. Thus, they don’t appreciate being cooped up in apartments all day. They shed a lot, and they tend to need the drool wiped from their faces every once in a while. Dogs of this breed are great watchdogs, but that also means they have a tendency to bark–loudly. They may want to chase smaller animals and play roughly, even though they are quite gentle when fully mature and trained properly.


Although, for an experienced owner who can match the Bernese’s energy, provide open space, keep up with grooming, and dedicate time and effort to training, this breed will show unconditional love and loyalty. A well-trained Bernese makes an excellent companion that will adore the whole family. They love kids and will even greet newcomers to the home warmly, so long as they’ve had adequate socialization training. There aren’t many breeds with a greater predisposition for friendliness. Therefore, if you’re ready for the challenge, you’ll never regret adopting a Bernese Mountain Dog.",L,,,,,,,,,
Biewer Terrier,"The Biewer Terrier is a rare purebred dog created through the occurrence of a recessive piebald gene in two Yorkshire Terriers.  These dogs are friendly, playful, and energetic, which are some of their best qualities.

The Biewer Terrier, pronounced like “beaver,” are also known by the names Biewer à la Pom Pon, Biewer Yorkie, or Biewer Yorkshire. You may be able to find Biewer Terrier dogs at shelter and rescues, so remember to adopt! It’s always better than shopping!


Since these energetic and lovable pups are small in stature, they are great for those who live in apartments or homes with or without backyards. They’re suited for a wide range of households from single and senior citizens to families with children. Biewer Terriers make great companion pets and they generally get along well with children and other pets, though they can be pretty active and have a tendency to be noisy, especially with strangers and dogs they don’t know.",S,,,,,,,,,
Black and Tan Coonhound,"Born in the USA, the outgoing and friendly black and tan coonhound is a versatile companion who shines in the show ring and field. At home, he’s a superb playmate, jogging or walking companion, and bed warmer.",L,,,,,,,,,
Black Mouth Cur,"Energetic, fearless, and strong, the Black Mouth Cur is valued as an all-around working dog bred to help farmers and hunters in the rugged terrain of the southeastern United States.

The breed is capable of herding livestock, providing protection for the home, and tracking game, though it also has a sensitive side that doesn’t respond well to harsh rebukes or punishment.


The Black Mouth Cur loves being around humans and family, and it is excellent with children, though high exercise needs make this breed a poor choice for inexperienced owners or those who are unable to keep up with a demanding energy level, and its tendency to play rough may not be best for children that are very young.

Black Mouth Curs are mostly found in the United States and are a bit rare in other parts of the world. If you’re interested in bringing home one of these strong-yet-sensitive, energetic, family-friendly dogs, check out our adoption page where you can search for adoptable dogs near you by breed.",S,,,,,,,,,
Bloodhound,"The Bloodhound’s ancestors were created in medieval France to trail deer and boar. Today, he’s a highly active and intelligent dog breed whose keen sense of smell has found him a special place in law enforcement and search and rescue. His fans love him for his sweet nature and unique appearance.",L,,,,,,,,,
Blue Lacy,"The Blue Lacy, also called the Lacy Dog, is an energetic, intelligent, and trainable breed that loves having a job to do and a lot of open space to run around. Even though the breed has “Blue” in its name, Blue Lacys can also have red or tri-colored coats, though they all carry the blue color gene. The “Lacy” in the breed’s name does not refer to the dog’s appearance at all, but rather comes from the name of the family that first created the breed.

The Blue Lacy was developed in the 1800s to help with herding, hunting, and ranch work in Texas. These dogs are hardy, adaptable, and able to learn quickly, though their high intensity and energy level make them ill-suited for apartment life or novice owners.


Blue Lacys can make great family dogs and expert watchdogs with firm training, but they are sensitive and don’t respond well to punishment. Socialization should begin early, as Blue Lacys are naturally territorial, not overly trusting of strangers, and have a high prey drive that can cause them to attack smaller animals and pets if they aren’t socialized.

With confident, assertive training that relies on positive reinforcement, dogs of this breed can be loyal, protective, and capable members of the family that are eager to please. Experienced owners that are ready to give this dog a task will be rewarded with a lifelong friend that will rise to any challenge.
",S,,,,,,,,,
Bluetick Coonhound,"Fast and muscular, the Bluetick dog breed stands out for his striking coat. He has a pleasantly pleading expression and a big bawl mouth — meaning he has a long, drawn out bark. Although he’s a hunter first and foremost, the Bluetick can be a fine housedog and loves his people.",L,,,,,,,,,
Bocker,"The Bocker is a mixed breed dog–a cross between the Cocker Spaniel and Beagle dog breeds. Small, affectionate, and curious by nature, these pups inherited some of the best qualities from both of their parents.

The Cocker Spaniel and Beagle mixes we call Bockers also go by the names Beakers or Beagle Spaniel. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed-specific rescues, so remember to adopt! Don’t shop!


These adorable pups do well in apartments and houses with fenced yards, whether it’s with single seniors or households with children. Just make sure the yard is secure, as they have a tendency to track and follow scents. Their wanderlust could lead them into dangerous situations, like traffic. So be careful and take extra precautions.

Bockers love endless play sessions and activity. They should not be left alone for long periods. Multiple pet families would be ideal. Isolation is their biggest enemy.",L,,,,,,,,,
Boerboel,"At first glance, you might think the large, intimidating Boerboel would make an excellent guard dog, and you’d be correct, but this breed is equally known for being loving, calm, and family-friendly, especially towards human children.

These gigantic protectors were bred to help farmers in South Africa defend their homesteads from hyenas, lions, and all manner of deadly wildlife while also providing invaluable companionship. The Boerboel, pronounced “boo-r-bull,” gets its name from Dutch/Afrikaans words that roughly translate to “farmer’s dog.” It is also known as the South African Mastiff, South African Boerboel, Borbull, or Bole.


Although Boerboels are generally docile, easy to groom, and have few health problems, don’t make the mistake of thinking they’re an easy breed to handle for first time owners. These dogs are confident, territorial, and prone to pulling and chewing. They need an assertive, experienced owner with plenty of space for a massive dog that needs to exercise.

If you’re interested in adopting a Boerboel, make sure you and your home are ready for the challenge. If you are, you’ll be rewarded with a loyal, protective friend for life.",L,,,,,,,,,
Boglen Terrier,"The Boglen Terrier is a mixed breed dog–a cross between the Beagle and Boston Terrier dog breeds. These dogs are known to be playful, spunky, loyal, and often times, stubborn. This lovable and perky mix has proven to become quite popular among owners from various backgrounds. 

Boglen Terriers are also called Boston Beagle Terrier or Boggle. However, confusion often arises since Boggles are another name for a Boxer and Beagle mix. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed-specific rescues, so remember to adopt! Don’t shop!


These adorable pups prefer big families because there are more people to interact with, and they don’t like being left alone for any length of time. They’re considered a high energy pup so they’re best suited for active adults or families with plenty of people to interact and play with.

They will thrive in a household with a backyard, but will also be content living in an apartment as long as the pup can burn off energy with regular walks and trips to the dog park. Make sure you have a secure yard, as they’re prone to tracking and wandering off.",L,,,,,,,,,
Bolognese,"A true companion dog, the Bolognese dog breed loves to be at his family’s side. However, he also loves getting his way and can be quite crafty about it, so be careful — you could find yourself being manipulated by a 10-pound furball.",S,,,,,,,,,
Borador,"The Borador is a mixed breed dog–a cross between the Border Collie and Labrador Retriever dog breeds. Outgoing, curious, and energetic, these pups inherited some of the best qualities from both of their parents.

Boradors go by several names, including Border Collie Lab and Border Lab. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed-specific rescues, so remember to adopt! Don’t shop!


These cute and energetic pups make excellent companions for active owners, and they can thrive in any space. Still, these medium- to large-sized dogs can grow bored easily and need space, so they tend to do best in homes with yards and lots of activity. If you want a loyal, affectionate, mid-sized dog who thinks they’re a lap dog, the Borador might be the right pup for you",L,,,,,,,,,
Border Collie,"The Border Collie dog breed was developed to gather and control sheep in the hilly border country between Scotland and England. He is known for his intense stare, or “eye,” with which he controls his flock. He’s a dog with unlimited energy, stamina, and working drive, all of which make him a premier herding dog; he’s still used today to herd sheep on farms and ranches around the world. The highly trainable and intelligent Border Collie also excels in various canine sports, including obedience, flyball, agility, tracking, and flying disc competitions.",M,,,,,,,,,
Border Terrier,"This alert, good-natured dog was originally bred to assist in foxhunts, driving foxes out of their hiding places and out into the open for the hounds to chase. He still has a powerful drive to hunt and dig, as well as the energy level that enabled him to keep up with hunters on horseback. These traits can make him an aggravating pet for some owners; for others, Border Terriers are wonderful companions who play hard and love harder.",S,,,,,,,,,
Bordoodle,"The Bordoodle is a mixed breed dog–a cross between the Border Collie and Poodle dog breeds. Friendly, playful, and intelligent, these pups inherited some of the best qualities from both of their parents.

Bordoodles are also sometimes known as Borpoos and Borderpoos. You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add a Bordoodle to your home!


The Bordoodle makes for an excellent family dog. They’re friendly, love companionship, and will even become protective towards your family. The mixed breed is relatively low maintenance and is tolerant of most people, from very young to very old.

Just be warned. Due to the Bordoodle’s intelligence, they can start to show stubborn traits if they don’t get proper socialization and training from a young age. Destructive behavior could even become an issue. But if you make sure you train your Bordoodle well, you’ll have the ultimately family dog!",S,,,,,,,,,
Borzoi,"Borzoi dog breed was developed in Russia as coursing and hunting dogs. These hounds were hunted in teams of three to go after rabbit, fox, and wolves. They later became popular as a companion for royalty across continental Europe.",L,,,,,,,,,
Boston Terrier,"Boston Terriers have been popular since their creation a little more than a century ago. They were originally bred to be fighting dogs, but today, they’re gentle, affectionate companions with tuxedo-like markings that earned them the nickname “American Gentleman.”",S,,,,,,,,,
Bouvier des Flandres,"The Bouvier des Flandres was originally bred to be a versatile farm dog. He helped farmers in a multitude of tasks, including herding livestock (particularly cattle), pulling carts, and guarding. The hard-working and intelligent Bouvier is still an ideal farm dog, as well as a capable service, assistance, law enforcement, and guard dog. And while you can also find him competing in obedience, agility, and herding trials, serving as family companion is the role that seems to suit him best.",L,,,,,,,,,
Boxer,"Boxer dogs were originally bred to be medium-size guard dogs. Today, although they are a part of the AKC’s Working Group, Boxers mostly find homes as loving family companions. That said, they still retain their high energy levels and need plenty of exercise.

Square-jawed and muscular, this breed is the George Clooney of the dog world–a looker with a sense of humor and an underlying sweetness. They adore their families and will also appreciate consistent training that doesn’t rely on harsh reprimands.",M,,,,,,,,,
Boxerdoodle,"The Boxerdoodle is a mixed breed dog–a cross between the Boxer and Poodle dog breeds. Friendly, smart, and playful, these pups inherited some of the best qualities from both of their parents.

The Boxerdoodle is also sometimes known as the Boxerpoo. You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add a Boxerdoodle to your home!


The Boxerdoodle makes for an exceptionally playful and super friendly dog who can become a great addition to a family. They are active dogs who aren’t well suited to apartment living because of their innate need for exercise and play. If you have a fenced-in yard, your kids and the dog will become best play buddies; although, it’s always important to supervise sessions involving small children.

As a heads up, due to the range of size between different types of Poodle, your Boxerdoodle could end up being anywhere from small to large in size.",L,,,,,,,,,
Boxmatian,"The Boxmatian is a mixed breed dog–a cross between the Boxer and Dalmatian dog breeds. Playful, goofy, and protective, these pups inherited some of the best qualities from both of their parents.

You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add a Boxmatian to your home!


The Boxmatian is a bit like a cartoon dog come to life! They have a larger-than-life personality and love to play and goof around. If you have a Boxmatian in your home, you’ll be laughing a lot. Properly trained, the breed is affectionate and loyal to their humans and will take on a guardian role.

But be warned! Correct training from the outset is essential to offset any aggressive tendencies and destructive behavior. For these reasons, it may not be the best dog to bring into a family with small children. The Boxmatian also requires a very high degree of exercise and is not an apartment dog on any level.",L,,,,,,,,,
Boykin Spaniel,"The Boykin Spaniel dog breed is known for his hunting skills, but he makes just as good a companion to a family as to a hunter, thanks to his smarts and his friendly confidence. The family should be an active one, however; this dog needs lots of exercise.",M,,,,,,,,,
Bracco Italiano,"In his native Italy, the Bracco Italiano is known as a hunting dog breed, but he’s also gaining notice as a sweet and affectionate family companion. With his long ears, droopy lips, and soulful expression, the Bracco Italiano has a distinctive look. He’s believed to be an ancient breed, dating back to the fourth or fifth century B.C.",M,,,,,,,,,
Briard,"Underneath the Briard’s long, shaggy coat lies a bold spirit and keen intelligence. True to his French roots, he can be aloof with strangers, but is affectionate and loving toward members of his pack. Bred as a herding and guard dog to protect flocks and fight off predators, he was adopted as a working dog during World War I and used by troops as sentries, ammunition carriers, messengers, and medic dogs. Today, the Briard enjoys the life of a companion dog, but he shows his versatility and working nature with his great successes in obedience, agility, conformation, herding, carting, and tracking competitions.",M,,,,,,,,,
Brittany,"Brittanys were bred as gundogs, and they definitely have birds on the brain. Although they’re often called Brittany Spaniels, the American Kennel Club dropped the word “spaniel” from this pointing breed’s name in 1982. The energetic Brittany is a versatile family companion and hunting dog who works more closely to the hunter than other pointing breeds.",M,,,,,,,,,
Broholmer,"The Broholmer is a large purebred dog from Denmark in northern Europe. Calm, protective, and friendly, this pup has some of the best qualities of any dog breed around!

Broholmers go by a couple of other names, such as the Danish Mastiff or the Danish Broholmer. You may be able find these dogs at your local shelter or rescues, so please remember to adopt and not shop!


These protective pooches can do fine in apartments but, because of their large size, are better suited for townhomes or something larger, preferably with a yard. They’re pack dogs and like to be around people, so larger households or families with children are perfect for them. If you want a protective, calm, large pooch who will love you unconditionally, then this may be the right dog for you!",L,,,,,,,,,
Brussels Griffon,"Originally bred to hunt and kill rats, this former Belgian street dog is a distinctive and unusual dog breed. Although he’s small, he’s hardly a pampered pooch. Affectionate and lively, his intelligence, sense of humor, and air of self-importance keep him one step ahead of his people. They adore him anyway.",M,,,,,,,,,
Bull Terrier,"The Bull Terrier was originally developed in the 19th century as a fighting dog and, later, a fashionable companion for gentlemen, but these days he’s a family companion and show dog. He’s a dog breed distinguished by his long, egg-shaped head.",L,,,,,,,,,
Bullboxer Pit,"The Bullboxer Pit is a mixed breed dog–a cross between the Boxer and American Pit Bull Terrier dog breeds. Powerful, faithful, and energetic, these pups inherited some of the best qualities from both of their parents.

Bullboxer Pits are also sometimes called the Pixoter or American Bullboxer. You can find these mixed breed dogs in shelters and breed-specific rescues, so remember to always adopt, don’t shop if you’re looking to add a Bullboxer Pit to your home!


Bullboxer Pits can be loyal and protective companions, and they often bond well with children. But due to the dog’s natural strength and sometimes stubborn streak, it is imperative that they are socialized both from a very young age and throughout their lifetime. Reward-based training works particularly well with the breed. An attentive and responsible owner will bring the best out of the Bullboxer Pit.",M,,,,,,,,,
Bulldog,"Bulldogs originally were used to drive cattle to market and to compete in a bloody sport called bullbaiting. Today, they’re gentle companions who love kids. A brief walk and a nap on the sofa is just this dog breed‘s speed.",M,,,,,,,,,
